1,000,000,000 simulated asset paths
# threads = cpu count (10)
50 runs

Elapsed time: 7.530935 seconds
Number of Paths: 1000000000
Elapsed time: 7.736183 seconds
Number of Paths: 1000000000
Elapsed time: 7.930691 seconds
Number of Paths: 1000000000
Elapsed time: 7.970920 seconds
Number of Paths: 1000000000
Elapsed time: 8.035875 seconds
Number of Paths: 1000000000
Elapsed time: 8.048998 seconds
Number of Paths: 1000000000
Elapsed time: 8.099013 seconds
Number of Paths: 1000000000
Elapsed time: 8.091451 seconds
Number of Paths: 1000000000
Elapsed time: 8.155252 seconds
Number of Paths: 1000000000
Elapsed time: 8.147671 seconds
Number of Paths: 1000000000
Elapsed time: 8.257214 seconds
Number of Paths: 1000000000
Elapsed time: 8.260045 seconds
Number of Paths: 1000000000
Elapsed time: 8.287509 seconds
Number of Paths: 1000000000
Elapsed time: 8.312550 seconds
Number of Paths: 1000000000
Elapsed time: 8.319149 seconds
Number of Paths: 1000000000
Elapsed time: 8.337936 seconds
Number of Paths: 1000000000
Elapsed time: 8.366661 seconds
Number of Paths: 1000000000
Elapsed time: 8.473781 seconds
Number of Paths: 1000000000
Elapsed time: 8.537351 seconds
Number of Paths: 1000000000
Elapsed time: 8.348171 seconds
Number of Paths: 1000000000
Elapsed time: 8.380517 seconds
Number of Paths: 1000000000
Elapsed time: 8.425069 seconds
Number of Paths: 1000000000
Elapsed time: 8.353394 seconds
Number of Paths: 1000000000
Elapsed time: 8.414714 seconds
Number of Paths: 1000000000
Elapsed time: 8.389742 seconds
Number of Paths: 1000000000
Elapsed time: 8.452667 seconds
Number of Paths: 1000000000
Elapsed time: 8.427221 seconds
Number of Paths: 1000000000
Elapsed time: 8.411245 seconds
Number of Paths: 1000000000
Elapsed time: 8.404849 seconds
Number of Paths: 1000000000
Elapsed time: 8.441475 seconds
Number of Paths: 1000000000
Elapsed time: 8.487084 seconds
Number of Paths: 1000000000
Elapsed time: 8.433503 seconds
Number of Paths: 1000000000
Elapsed time: 8.497399 seconds
Number of Paths: 1000000000
Elapsed time: 8.458804 seconds
Number of Paths: 1000000000
Elapsed time: 8.464345 seconds
Number of Paths: 1000000000
Elapsed time: 8.496554 seconds
Number of Paths: 1000000000
Elapsed time: 8.635885 seconds
Number of Paths: 1000000000
Elapsed time: 8.556122 seconds
Number of Paths: 1000000000
Elapsed time: 8.727125 seconds
Number of Paths: 1000000000
Elapsed time: 8.707772 seconds
Number of Paths: 1000000000
Elapsed time: 8.920167 seconds
Number of Paths: 1000000000
Elapsed time: 8.963130 seconds
Number of Paths: 1000000000
Elapsed time: 8.670164 seconds
Number of Paths: 1000000000
Elapsed time: 8.668616 seconds
Number of Paths: 1000000000
Elapsed time: 8.514976 seconds
Number of Paths: 1000000000
Elapsed time: 8.532481 seconds
Number of Paths: 1000000000
Elapsed time: 8.586727 seconds
Number of Paths: 1000000000
Elapsed time: 8.601029 seconds
Number of Paths: 1000000000
Elapsed time: 8.507711 seconds
Number of Paths: 1000000000
Elapsed time: 8.545559 seconds
Number of Paths: 1000000000
Elapsed time: 8.528739 seconds
Number of Paths: 1000000000
